model,normalize,scheme,ngram,lowercase,strip_punct,accuracy,precision_kb,recall_kb,f1_kb,f1_macro,roc_auc
logreg,stem,tf,1-1,True,True,0.625±0.057,0.629±0.058,0.602±0.075,0.615±0.066,0.624±0.058,0.667±0.067
logreg,lemma,bow,1-1,True,True,0.629±0.048,0.637±0.047,0.593±0.071,0.613±0.057,0.628±0.048,0.676±0.058
mnb,stem,idf,1-2,True,True,0.603±0.047,0.600±0.048,0.627±0.037,0.613±0.042,0.603±0.047,0.651±0.059
logreg,stem,idf,1-1,True,True,0.613±0.054,0.612±0.053,0.613±0.061,0.612±0.056,0.613±0.054,0.667±0.062
logreg,stem,bow,1-2,True,True,0.620±0.051,0.625±0.054,0.598±0.063,0.611±0.056,0.619±0.051,0.662±0.062
bnb,lemma,bow,1-2,True,True,0.627±0.039,0.640±0.046,0.585±0.043,0.611±0.040,0.626±0.039,0.671±0.054
bnb,lemma,tf,1-2,True,True,0.627±0.039,0.640±0.046,0.585±0.043,0.611±0.040,0.626±0.039,0.671±0.054
bnb,lemma,idf,1-2,True,True,0.627±0.039,0.640±0.046,0.585±0.043,0.611±0.040,0.626±0.039,0.671±0.054
bnb,lemma,tfidf,1-2,True,True,0.627±0.039,0.640±0.046,0.585±0.043,0.611±0.040,0.626±0.039,0.671±0.054
mnb,stem,idf,1-1,True,True,0.595±0.052,0.589±0.050,0.631±0.051,0.609±0.049,0.594±0.052,0.642±0.064
mnb,lemma,idf,1-2,True,True,0.605±0.039,0.603±0.039,0.614±0.047,0.608±0.040,0.604±0.039,0.657±0.046
logreg,stem,tfidf,1-1,True,True,0.615±0.055,0.619±0.057,0.596±0.061,0.607±0.058,0.614±0.055,0.666±0.065
mnb,lemma,idf,1-1,True,True,0.600±0.038,0.597±0.039,0.616±0.041,0.606±0.037,0.599±0.038,0.642±0.053
logreg,none,tfidf,1-2,True,True,0.617±0.041,0.625±0.046,0.584±0.059,0.603±0.049,0.616±0.042,0.658±0.051
logreg,none,idf,1-2,True,True,0.607±0.041,0.610±0.045,0.596±0.043,0.603±0.041,0.607±0.041,0.642±0.050
logreg,stem,bow,1-1,True,True,0.617±0.052,0.625±0.054,0.582±0.065,0.602±0.059,0.616±0.052,0.664±0.064
mnb,none,idf,1-2,True,True,0.592±0.044,0.588±0.043,0.617±0.047,0.602±0.043,0.591±0.044,0.625±0.057
logreg,none,tf,1-2,True,True,0.604±0.043,0.605±0.044,0.595±0.059,0.599±0.051,0.604±0.043,0.644±0.052
logreg,none,idf,1-1,True,True,0.602±0.041,0.603±0.042,0.595±0.050,0.599±0.045,0.602±0.041,0.644±0.050
logreg,none,tf,1-1,True,True,0.601±0.043,0.601±0.043,0.595±0.061,0.598±0.051,0.601±0.044,0.635±0.052
bnb,none,bow,1-1,True,True,0.601±0.035,0.602±0.035,0.593±0.048,0.597±0.040,0.601±0.035,0.653±0.056
bnb,none,tf,1-1,True,True,0.601±0.035,0.602±0.035,0.593±0.048,0.597±0.040,0.601±0.035,0.653±0.056
bnb,none,idf,1-1,True,True,0.601±0.035,0.602±0.035,0.593±0.048,0.597±0.040,0.601±0.035,0.653±0.056
bnb,none,tfidf,1-1,True,True,0.601±0.035,0.602±0.035,0.593±0.048,0.597±0.040,0.601±0.035,0.653±0.056
bnb,none,bow,1-2,True,True,0.603±0.042,0.607±0.045,0.587±0.044,0.596±0.042,0.602±0.042,0.650±0.062
bnb,none,tf,1-2,True,True,0.603±0.042,0.607±0.045,0.587±0.044,0.596±0.042,0.602±0.042,0.650±0.062
bnb,none,idf,1-2,True,True,0.603±0.042,0.607±0.045,0.587±0.044,0.596±0.042,0.602±0.042,0.650±0.062
bnb,none,tfidf,1-2,True,True,0.603±0.042,0.607±0.045,0.587±0.044,0.596±0.042,0.602±0.042,0.650±0.062
mnb,none,idf,1-1,True,True,0.586±0.037,0.582±0.035,0.611±0.042,0.596±0.038,0.586±0.037,0.621±0.052
logreg,none,tfidf,1-1,True,True,0.610±0.043,0.619±0.048,0.574±0.058,0.595±0.049,0.609±0.043,0.653±0.053
logreg,none,bow,1-1,True,True,0.609±0.038,0.620±0.044,0.565±0.044,0.591±0.041,0.608±0.038,0.645±0.050
logreg,none,bow,1-2,True,True,0.609±0.047,0.622±0.056,0.554±0.064,0.585±0.056,0.607±0.048,0.651±0.055
